Country,Life_Expectancy,Mean_Years_Schooling,GNI_Per_Capita,HDI_Score
Norway,83.2,13.0,66494,0.961
Switzerland,84.0,13.9,66933,0.962
Australia,83.3,12.7,49238,0.951
Germany,81.3,14.2,54534,0.942
United States,77.2,13.7,64765,0.921
Poland,78.7,12.8,32204,0.876
Saudi Arabia,76.5,10.4,45416,0.875
Argentina,76.7,11.1,20925,0.842
China,78.6,8.1,17504,0.788
Brazil,72.8,8.0,14263,0.760
Mexico,70.4,9.2,18186,0.758
Vietnam,73.6,8.6,8137,0.703
India,67.7,6.7,6829,0.633
Kenya,66.7,6.6,4244,0.575
Nigeria,55.4,7.2,4910,0.535
Pakistan,66.1,4.5,5527,0.544
Haiti,64.0,5.6,2926,0.535
Chad,53.3,2.5,1364,0.394
Niger,62.4,2.1,1201,0.400
Central African Republic,53.1,4.3,948,0.387
